title,company,expirence,salary,location,skill,date
Data Scientist: Artificial Intelligence,IBM,12-15 Yrs,Not disclosed,Bangalore/Bengaluru,"['IT Skills', 'Java', 'Python', 'Artificial Intelligence', 'Big Data', 'Power BI', 'Automation', 'Interpersonal skills']",6 DAYS AGO
Computer Vision/Artificial Intelligence/Machine Learning Engineer,e-con Systems,0-1 Yrs,Not disclosed,Chennai,"['IT Skills', 'Python', 'Machine Learning', 'Artificial Intelligence', 'C++', 'Linux', 'Image Processing', 'Computer Vision']",9 DAYS AGO
Computer Vision Engineer - Artificial Intelligence,MyHealthcare Technologies,0-2 Yrs,Not disclosed,"Gurgaon/Gurugram, Bangalore/Bengaluru","['Artificial Intelligence', 'Cloud services', 'Computer Vision', 'Machine Learning', 'LSTM', 'OpenCV', 'CNN', 'Keras+Tensorflow PyTorch']",2 DAYS AGO
Artificial Intelligence & Machine Learning Expert,Infosys,3-8 Yrs,Not disclosed,Bangalore/Bengaluru,"['Azure ML', 'Artificial Intelligence', 'Machine Learning', 'Theano', 'Reinforcement Learning', 'Learning', 'AI', 'Keras']",8 DAYS AGO
Data Engineer - Artificial Intelligence/Machine Learning,zCodeLabs Software Services,3-8 Yrs,,,[''],
,,,,,[''],
,,,,,[''],
,,,,,[''],
,,,,,[''],
,,,,,[''],
,,,,,[''],
,,,,,[''],
,,,,,[''],
,,,,,[''],
,,,,,[''],
,,,,,[''],
,,,,,[''],
,,,,,"['IT Skills', 'Java', 'Python', 'Software Development', 'Testing', 'Data Science', 'Machine Learning', 'Computer science']",30+ DAYS AGO
Artificial Intelligence Developer - Nlp/machine Learning,Confidential,3-5 Yrs,Not disclosed,Bangalore/Bengaluru,"['Stanford Core', 'Artificial Intelligence', 'natural language processing', 'deep learning', 'predictive analytics', 'Computer Vision', 'NLTK', 'NLP']",7 DAYS AGO
Urgent Opening For artificial Intelligence/Machine Learning,Orcapod Consulting Services Private Limited,4-9 Yrs,Not disclosed,"Hyderabad/Secunderabad, Bangalore/Bengaluru","['IT Skills', 'Python', 'Data Science', 'Machine Learning', 'Artificial Intelligence', 'Oracle', 'sql queries', 'application support']",5 DAYS AGO
Artificial Intelligence Specialist,"CloudMoyo, Inc",4-9 Yrs,Not disclosed,Pune,"['NoSQL design', 'RDBMS', 'NLP', 'REST API development', 'Tensorflow', 'Python', 'deep learning', 'ML']",
Research Scientist (Artificial Intelligence/Machine Learning-Robotics),Intel,4-8 Yrs,Not disclosed,Bangalore/Bengaluru,"['Computer science', 'deep learning', 'Simulation', 'Analytical', 'Artificial Intelligence', 'Machine learning', 'System software', 'MATLAB']",16 DAYS AGO
Software Engineer - Artificial Intelligence/Machine Learning,Confidential,1-2 Yrs,Not disclosed,Trivandrum/Thiruvananthapuram,"['Machine Learning', 'AI', 'IT Skills', 'Testing', 'Pattern Recognition', 'Artificial Intelligence', 'Image Processing']",9 DAYS AGO
Data Scientist: Artificial Intelligence,IBM,2-6 Yrs,Not disclosed,Mumbai,"['IT Skills', 'Java', 'Python', 'Artificial Intelligence', 'Big Data', 'Automation', 'NoSQL', 'Scheduling']",17 DAYS AGO
Artificial Intelligence/ Machine Learning Freshers,IGT Solutions,4-8 Yrs,"16,00,000 - 20,00,000 PA.",Gurgaon/Gurugram,"['deep learning', 'python', 'spacy', 'tensorflow', 'r', 'data science', 'nltk', 'machine learning']",15 DAYS AGO
Artificial Intelligence Engineer,Allegis Services India Pvt. Ltd.,6-11 Yrs,Not disclosed,"Noida, Kolkata, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR, Trivandrum/Thiruvananthapuram, Mumbai (All Areas)
(WFH during Covid)","['Advanced Analytics', 'Python', 'Neural Networks', 'AI', 'ML', 'R coding', 'Deep Learning', 'communication']",10 DAYS AGO
Artificial Intelligence Engineer,Allegis Services India Pvt. Ltd.,6-11 Yrs,Not disclosed,"Noida, Kolkata, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR, Trivandrum/Thiruvananthapuram, Mumbai (All Areas)
(WFH during Covid)","['R', 'NLP', 'Neural Networks', 'AI', 'Machine Learning', 'artificial intelligence', 'Deep Learning', 'Python']",10 DAYS AGO
Artificial Intelligence Engineer,AMPA Orthodontics Private Limited,4-7 Yrs,Not disclosed,"Bangalore/Bengaluru, Mumbai (All Areas)
(WFH during Covid)","['Tensorflow', 'Opencv', 'Python', 'Algorithm Development', 'GAN', 'Bigdata Frameworks', 'Pandas', 'Aws Sagemaker']",10 DAYS AGO
Data Scientist - Artificial Intelligence/ Machine Learning,Confidential,4-8 Yrs,Not disclosed,Hyderabad/Secunderabad,"['Neo4j', 'Cassandra', 'LSTM', 'NLP', 'tensor flow', 'RDBMS', 'BIDAF', 'MongoDB']",18 DAYS AGO
Data Scientist - Artificial Intelligence/Machine Learning,Executive Selection India,3-8 Yrs,Not disclosed,Hyderabad/Secunderabad,"['data', 'machine learning', 'ML Algorithms', 'management', 'AIML', 'Hadoop', 'Spark', 'ML Modelling']",18 DAYS AGO
Team Lead/Consultant-Artificial Intelligence Innovation,Accenture,7-11 Yrs,Not disclosed,Bangalore/Bengaluru,"['Publishing', 'Architecture', 'data science', 'management', 'Artificial Intelligence', 'Consulting', 'Machine learning', 'Individual Contributor']",11 DAYS AGO
Team Lead/Consultant-Artificial Intelligence Innovation,Accenture,7-11 Yrs,Not disclosed,Bangalore/Bengaluru,"['IT Skills', 'Artificial Intelligence', 'Cloud', 'Project Management', 'BPO', 'project management', 'Business administration', 'Publishing']",12 DAYS AGO
Analyst-Artificial Intelligence Innovation,Accenture,3-5 Yrs,Not disclosed,Gurgaon/Gurugram,"['Publishing', 'Architecture', 'Senior Analyst', 'Artificial Intelligence', 'Consulting', 'Client relationship', 'Research', 'professional services']",6 DAYS AGO
Senior Engineer – Artificial Intelligence / Computer Vision,Successr HR Tech PVT LTD,3-7 Yrs,Not disclosed,Kanchipuram,"['Artificial Intelligence', 'Neural Networks', 'Computer Vision', 'IT Skills', 'Python', 'Software Development', 'Testing', 'Machine Learning']",8 DAYS AGO
Teaching Assistant for Artificial Intelligence,Data-Core Systems Inc.,0-5 Yrs,Not disclosed,Kolkata,"['BPO', 'Computer science', 'Artificial Intelligence', 'Consulting', 'Machine learning', 'Mathematics', 'Construction management', 'Information technology']",30+ DAYS AGO
Research Scientist - Machine Learning/ Artificial Intelligence,Career Maker,5-10 Yrs,Not disclosed,Bangalore/Bengaluru,"['Python', 'data structures', 'Speech Recognition', 'Signal Processing', 'algorithmic', 'Artificial Intelligence', 'Java', 'C++']",17 DAYS AGO
AI Engineer - Artificial intelligence - Machine learning (AI ML),Axis Bank,3-7 Yrs,Not disclosed,Mumbai (All Areas),"['Pytorch', 'Tensorflow', 'Java', 'NLP', 'Image Processing', 'Artificial Intelligence', 'Natural Language Processing', 'Caffe']",30+ DAYS AGO
Artificial Intelligence Strategist,Kimberly-Clark Lever Limited,12-17 Yrs,Not disclosed,Bangalore/Bengaluru,"['Supply chain', 'Hospitality', 'data science', 'Social media', 'Value engineering', 'Artificial Intelligence', 'Management consulting', 'Machine learning']",11 DAYS AGO
Sr. Associate/Managers For Artificial Intelligence Machine Learning,Cognizant,6-11 Yrs,Not disclosed,Hyderabad/Secunderabad,"['IT Skills', 'Java', 'Python', 'Machine Learning', 'Javascript', 'NLP', 'Phyton', 'PowerBI']",25 DAYS AGO
Artificial Intelligence And Machine Learning Consultant,Visaka Industries Ltd,10-20 Yrs,"15,00,000 - 20,00,000 PA.",Hyderabad/Secunderabad,"['Business Intelligence', 'Project Management', 'Industrial Automation', 'Artificial Intelligence', 'Iiot', 'Data Analytics', 'Machine Learning', 'iot']",15 DAYS AGO
Data Science Product Manager- Artificial Intelligence/Machine Learning,Catalyst,4-9 Yrs,Not disclosed,Bangalore/Bengaluru,"['Deep Learning', 'Artificial Intelligence', 'Machine Learning', 'R', 'NoSQL', 'YOLO', 'VGG', 'Python']",18 DAYS AGO
