title,company,expirence,salary,location,skill,date
Hiring For Senior Data Analyst - Chennai,Novac Technology,6-10 Yrs,Not disclosed,Chennai(Mylapore),"['IT Skills', 'Python', 'Data Science', 'Machine Learning', 'Cloud', 'Power BI', 'Azure', 'Trees']",7 DAYS AGO
Data Analyst For Text / Sentiment Analysis,FUTURLYTIC PRIVATE LIMITED,0-1 Yrs,"4,50,000 - 5,50,000 PA.","Bangalore/Bengaluru(Hebbal Kempapura)
(WFH during Covid)","['Query Writing', 'Text Analytics', 'Sprinklr', 'IT Skills', 'Testing', 'Cloud', 'Product Management', 'Communication Skills']",4 DAYS AGO
Senior Data Analyst,Flipkart,3-7 Yrs,Not disclosed,Bangalore/Bengaluru,"['Analytical', 'Data Analyst', 'Manager Quality Control', 'QlikView', 'Macros', 'Operations', 'Analytics', 'Reporting tools']",
Junior Data Analyst/ Scientist- Fresher Position,Sejal Consulting Hub,0-3 Yrs,"4,00,000 - 7,00,000 PA.","Kolkata, Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)
(WFH during Covid)","['C++', 'Data Analysis', 'Data Visualization', 'Advanced Excel', 'Tableau', 'Python']",7 DAYS AGO
Tcs Hiring For Data Analyst / Data Engineer,TCS,3-8 Yrs,Not disclosed,"Pune, Bangalore/Bengaluru, Delhi / NCR","['Oracle DBMS', 'Kafka', 'Excel', 'Spark', 'Python', 'Hadoop', 'Analytical', 'NoSQL']",
Market Data Analyst,Schneider Electric,2-5 Yrs,Not disclosed,Bangalore/Bengaluru,"['Data analysis', 'MS Access', 'Project management', 'Cognos', 'Market research', 'Competitive intelligence', 'Business intelligence', 'Oracle']",
Data Analyst / BI Analytics Consultant - Night Shift - NA,Oracle,2-7 Yrs,Not disclosed,"Hyderabad/Secunderabad, Bangalore/Bengaluru","['IT Skills', 'Python', 'Cloud', 'Product Management', 'Oracle', 'Big Data', 'Tableau', 'oracle sql developer']",5 DAYS AGO
Data Engineering Analyst,Dell,0-3 Yrs,Not disclosed,Bangalore/Bengaluru,"['BI', 'Data Analysis', 'SQL', 'IT Skills', 'Python', 'Data Science', 'DevOps', 'Big Data']",6 DAYS AGO
Business Analytics / Data Analyst / Process Analyst / Fresher - MNC,GABA Consultancy services,0-5 Yrs,"2,25,000 - 4,50,000 PA.","Noida, New Delhi, Delhi / NCR","['Sales Analysis', 'Logistic Regression', 'Business Analytics', 'Banking', 'Big Data', 'Reporting', 'Statistics', 'Data Science']",
Senior Power BI/Business Analyst/Data Analyst,Mapps IT Services Pvt Ltd.,10-20 Yrs,Not disclosed,Remote,"['IT Skills', 'Cloud', 'Power BI', 'Azure', 'data analytics', 'ssas', 'Business Analyst', 'predictive analytics']",5 DAYS AGO
Data Transformation Analyst I-2,IHS Markit,0-2 Yrs,Not disclosed,Hyderabad/Secunderabad,"['Data management', 'Project management', 'Fixed income', 'Analytical', 'Data collection', 'Data processing', 'Workflow', 'Data quality']",
Senior Data Analyst III,Flipkart,2-4 Yrs,Not disclosed,Bangalore/Bengaluru,"['Analytical', 'Cloud', 'E-commerce', 'Commerce', 'Data Analyst', 'Manager Quality Control', 'Analytics', 'SQL']",7 DAYS AGO
Senior Data Analyst,Flipkart,3-7 Yrs,Not disclosed,Bangalore/Bengaluru,"['Analytical', 'E-commerce', 'power bi', 'Data Analyst', 'Manager Quality Control', 'Data warehousing', 'SQL', 'Python']",7 DAYS AGO
Data Analyst,Collabera India,2-6 Yrs,"1,00,000 - 5,00,000 PA.","Hyderabad/Secunderabad
(WFH during Covid)","['power bi', 'dashboards', 'SQL', 'Analytical', 'Troubleshooting', 'data analysis', 'IT Skills', 'Communication Skills']",
"Lead - Data Analyst / Scientist ( R, Qlik, Power BI, Azure SQL",Axim Technologies,12-15 Yrs,Not disclosed,Bangalore/Bengaluru,"['R', 'Power BI', 'Qlik', 'Data scientist', 'SAAS', 'R Language', 'Data Analyst', 'Lead Data Scientist']",6 DAYS AGO
Senior Data analyst (Azure / MDM),Syneos Health,4-7 Yrs,Not disclosed,"Hyderabad/Secunderabad, Gurgaon/Gurugram, Bangalore/Bengaluru
(WFH during Covid)","['salesforce', 'Data analyst', 'Azure Databricks', 'python', 'MDM', 'Unix Shell Scripting', 'Data Warehousing', 'SQL']",
Sr Data Analyst | Innovaccer | Health Tech Cloud,InnovAccer,3-6 Yrs,Not disclosed,"Noida, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Mumbai (All Areas)","['IT Skills', 'Python', 'Cloud', 'Javascript', 'Business Intelligence', 'NoSQL', 'Power Bi', 'Data Analysis']",
"Risk Data Analyst, Trust and Safety",Google,1-4 Yrs,Not disclosed,Hyderabad/Secunderabad,"['analytical', 'Computer science', 'C++', 'Data analysis', 'Product engineering', 'MySQL', 'Machine learning', 'Risk management']",
HR Data Analyst,Bechtel,3-8 Yrs,Not disclosed,New Delhi,"['Mining', 'Data analysis', 'Business objects', 'SAP', 'Staffing', 'data security', 'Project management', 'Process improvement']",
Data Analyst (Digital Services Analytics),Dell,4-9 Yrs,Not disclosed,Bangalore/Bengaluru,"['Kibana', 'Elasticsearch', 'SQL', 'Google Analytics', 'Excel Powerpoint', 'Data Analysis', 'Sitecatalyst', 'Data Visualization']",7 DAYS AGO
Data Analyst,Schneider Electric,8-10 Yrs,Not disclosed,Bangalore/Bengaluru,"['excel', 'Data Quality', 'data analysis', 'SAP', 'business process', 'data cleaning', 'ms office tools', 'Master Data Management']",5 DAYS AGO
Video Data Analyst,Arivon Technologies,,"1,50,000 - 3,00,000 PA.",Bangalore/Bengaluru,"['Microsoft Windows', 'Word', 'Windows Xp', 'Excel Sheet', 'MS Office', 'Excel Report Preparation']",
Financial Data Analyst - Mandarin Language,Moody's,0-2 Yrs,Not disclosed,Bangalore/Bengaluru,"['lookups', 'pivot tables', 'Excel', 'Financial Services', 'Secondary Research', 'Accounting', 'Financial Data Analyst', 'Finance']",13 DAYS AGO
Data Analyst,LEXCLOUD SOFTWARE PRIVATE LIMITED,0-1 Yrs,"50,000 - 1,50,000 PA.",Pune,"['Excel', 'advanced excel', 'Data Management', 'H - lookup', 'MS Access', 'MS Excel', 'SQL', 'MIS']",12 DAYS AGO
Senior Data Analyst (Digital Services Analytics),Dell,1-6 Yrs,Not disclosed,Bangalore/Bengaluru,"['data analytics', 'business analytics', 'data science', 'IT Skills', 'Python', 'Project Management', 'Tableau', 'Power BI']",8 DAYS AGO
Data Transformation Analyst I,IHS Markit,0-2 Yrs,Not disclosed,Noida,"['IT Skills', 'Python', 'Corporate actions', 'PDF', 'Equity research', 'HTTP', 'EDI', 'Forecasting']",
Senior Data Analyst,Sapwood Ventures Pvt. Ltd.,8-12 Yrs,Not disclosed,Hyderabad/Secunderabad,"['snowflake', 'Netezza', 'Oracle', 'Unix', 'retail banking', 'python', 'sql queries', 'data management']",
Merilytics - Business Analyst - Data Analytics -IIT/NIT/BITS,Meritus Intelytics Private Limited,0-3 Yrs,Not disclosed,Hyderabad/Secunderabad,"['excel', 'analytics', 'python', 'data analysis', 'business analysis', 'problem solving', 'sql', 'statistics']",11 DAYS AGO
Tech Mahindra Pune Hiring WFM/Data Analyst/MIS Executive,Tech Mahindra,1-6 Yrs,"2,00,000 - 3,50,000 PA.",Pune,"['Pivot Table', 'MS Access', 'VBA', 'Power Bi', 'MIS', 'Data Management', 'Data Analysis', 'Advanced Excel']",
Senior Data Analyst,Snaphunt,3-8 Yrs,"5,00,000 - 10,00,000 PA.",Hyderabad/Secunderabad,"['Data Research', 'Visual Analytics', 'Power Bi', 'Finance', 'Data Analysis', 'Data Visualization', 'Advanced Excel', 'Tableau']",
Senior Data Analyst,FPS Innovation Labs Private limited,5-10 Yrs,Not disclosed,Remote,"['Business Intelligence', 'data analysis', 'Data Visualization', 'Data Warehousing', 'Data Architecture', 'ETL', 'SQL', 'Python']",
